%dplate[mm]	mode	torchangle	I[A]	U[V]	vDraht[m/min]	_xStickO[mm]	PL[W]	Wave[nm]	_yfocus[mm]	radius_focus[mm]	vF[m/min]	Total
c	11
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	3	3.75
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	3	3.5
0.5	1	52.3	54	12.6	1.8	13	0	1025	0	2	3	3.75
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	1	12
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	1	5.75
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	1	12.75
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	2	10
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	2	10.5
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	2	11
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	3	7.5
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	3	7
0.5	1	52.3	54	12.6	1.8	13	500	1025	0	2	3	7
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	1	-8
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	1	-8.5
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	1	-8
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	2	12
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	2	12
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	2	12
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	3	8.5
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	3	8.5
0.5	1	52.3	54	12.6	1.8	13	750	1025	0	2	3	8.5
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1	10
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1	10
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1	9.5
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.2	9
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.2	10
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.2	10
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.3	9.5
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.3	10
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.3	9.5
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.4	4.5
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.4	8.5
0.75	2	0	62	13.3	2	16	0	811	2	3.55	1.4	10
0.75	2	0	62	13.3	2	16	120	811	2	3.55	1.4	10
0.75	2	0	62	13.3	2	16	120	811	2	3.55	1.6	9
0.75	2	0	62	13.3	2	16	120	811	2	3.55	1.8	9
0.75	2	0	62	13.3	2	16	120	811	2	3.55	1.4	10
1	1	0	51	13.8	1.7	16	120	811	4	3.55	0.5	3
1	1	0	61	14.3	2	16	0	811	4	3.55	0.5	6
1	1	0	61	14.3	2	16	120	811	4	3.55	0.5	7.5
1	1	0	61	14.3	2	16	120	811	4	3.55	0.5	8
1	1	0	61	14.3	2	16	0	811	4	3.55	0.5	7.5
1	1	0	61	14.3	2	16	120	811	4	3.55	0.5	9
1	1	0	61	14.3	2	16	120	811	4	3.55	0.5	9.5
1	1	0	61	14.3	2	16	0	811	4	3.55	0.5	7
1	1	0	61	14.3	2	16	0	811	4	3.55	0.5	6
1	1	0	61	14.3	2	16	110	811	4	3.55	0.5	9.5
1	1	0	61	14.3	2	16	110	811	4	3.55	0.5	8.5
1	1	0	61	14.3	2	16	100	811	4	3.55	0.5	9
1	1	0	61	14.3	2	16	100	811	4	3.55	0.5	9.5
1	1	0	61	14.3	2	16	90	811	4	3.55	0.5	10
1	1	0	61	14.3	2	16	80	811	4	3.55	0.5	9.5
1	1	0	61	14.3	2	16	80	811	4	3.55	0.5	10.5
1	1	0	61	14.3	2	16	20	811	4	3.55	0.5	8
1	1	0	61	14.3	2	16	90	811	4	3.55	0.5	8.5
1	1	0	61	14.3	2	16	60	811	4	3.55	0.5	10
1	1	0	61	14.3	2	16	40	811	4	3.55	0.5	9.5
1	1	0	61	14.3	2	16	60	811	4	3.55	0.5	9
1	1	0	61	14.3	2	16	40	811	4	3.55	0.5	9.5
1	1	0	61	14.3	2	16	20	811	4	3.55	0.5	7.5
